asset,hyst,put_frac,put_otm,cap,moic,irr_ann,max_dd,calmar,coin_ratio,expo_mean,expo_final,bear_time,prem
BTC,price,0.3,0.02,0.9,1.2125737577679612,0.13294688130527854,-0.34443176040845225,0.38598903059236017,0.9052249076850009,0.560061545189951,0.9154735167282064,0.31050656660412757,2202.562639496585
BTC,price,0.3,0.03,0.8,1.2311844211662193,0.14384122406358135,-0.2864400321270677,0.502168719209513,0.841808844560922,0.5078648074093156,0.838470578570549,0.31050656660412757,1924.4503357656668
BTC,price,0.3,0.03,0.9,1.2331046002360104,0.14495916061206704,-0.3105931556187641,0.4667171764402831,0.8838891315076075,0.5249717160664265,0.8790130666851519,0.31050656660412757,2000.6120688820174
BTC,time,0.1,0.01,0.8,1.16614123189678,0.10528423528598574,-0.28502058355402493,0.3693916908496869,0.7780244384253012,0.49325008705832857,0.8181624486644978,0.29831144465290804,1829.9249389738707
BTC,time,0.1,0.01,0.9,1.1433314223966762,0.09143261005087111,-0.30873383692067413,0.29615351191441885,0.8442838422589047,0.5070102439936752,0.9055528330788544,0.29831144465290804,1963.1518943813935
BTC,time,0.1,0.02,0.8,1.1394050833823162,0.08903022561033436,-0.2668160047842423,0.33367648122280985,0.7539331520592504,0.4513130518501251,0.8114320230285922,0.29831144465290804,1591.378466503244
BTC,time,0.1,0.02,0.9,1.1453729722883164,0.09267964447045829,-0.27090871523518156,0.34210654459750817,0.8399211427666561,0.45989730067592416,0.899267789861988,0.29831144465290804,1628.8226176472608
BTC,time,0.1,0.03,0.8,1.185516899726757,0.11691289349262601,-0.19658493258828158,0.5947195034396812,0.7458859823751337,0.4081555003791884,0.7715465813839686,0.29831144465290804,1315.0365039897588
BTC,time,0.1,0.03,0.9,1.1855972817498555,0.1169608782533913,-0.19658493258828158,0.5949635951924594,0.7458859823751337,0.40815372011734713,0.7714942714840716,0.29831144465290804,1317.8356097363708
BTC,time,0.2,0.01,0.8,1.2152306512942002,0.1345087911855618,-0.3150857929805724,0.42689576674710744,0.830751819831111,0.5401364642054082,0.8383204132779535,0.29831144465290804,2230.6951636434446
BTC,time,0.2,0.01,0.9,1.206040751541349,0.129096844974822,-0.34332815676328954,0.37601589741976477,0.8985501139140836,0.5653018980727607,0.9136456190276171,0.29831144465290804,2232.755005736776
BTC,time,0.2,0.02,0.8,1.186851830764349,0.11770951880406266,-0.2958642703484743,0.39784972570504124,0.7761217934164728,0.505884062547951,0.8019196024534515,0.29831144465290804,1777.9877292452634
BTC,time,0.2,0.02,0.9,1.1766563481128387,0.11161050515112558,-0.3188710957679818,0.3500176297958848,0.8737439124228501,0.523184749851305,0.9106090787919962,0.29831144465290804,1970.2597799781338
BTC,time,0.2,0.03,0.8,1.1980016538746556,0.12434060774212363,-0.2642638944437322,0.4705168218452883,0.764527704397354,0.47008748469331585,0.7825881459377048,0.29831144465290804,1642.2066775844655
BTC,time,0.2,0.03,0.9,1.200355513607145,0.12573538112987293,-0.2714792850403134,0.46314908008985595,0.8773539987762642,0.4801240419065168,0.896318630037963,0.29831144465290804,1647.6306362020027
BTC,time,0.3,0.01,0.8,1.2122529807371,0.1327581555931825,-0.3231351705515446,0.41084402965664085,0.7927742132206833,0.5537453952601887,0.8019618514713392,0.29831144465290804,2297.93168909589
BTC,time,0.3,0.01,0.9,1.2229385260083172,0.1390275150278628,-0.3522195590386966,0.39471832685074865,0.8983615784380394,0.585692845748389,0.9008324001118139,0.29831144465290804,2351.6246963230783
BTC,time,0.3,0.02,0.8,1.2141626698954298,0.1338812229775337,-0.30749159241319846,0.4353979955251196,0.7983466093905811,0.5272393990757014,0.8063285999631964,0.29831144465290804,1855.3855045015498
BTC,time,0.3,0.02,0.9,1.2017471173716732,0.1265591371170991,-0.33765221333761164,0.37482099070547237,0.8982356913568211,0.5519828143236745,0.916589069417769,0.29831144465290804,2051.957751591457
BTC,time,0.3,0.03,0.8,1.2182310585066363,0.13626997908798,-0.2864087003790804,0.47578854590526715,0.8323342663728914,0.5011187761285416,0.8378486266098352,0.29831144465290804,1759.0443422542487
BTC,time,0.3,0.03,0.9,1.2135411140766321,0.13351581875752405,-0.30748733642125203,0.43421566660751787,0.897935747580504,0.5156772086458082,0.9073779516374143,0.29831144465290804,1818.316727764408
